year,name,sex,n
1880,Hallie,M,6
1880,Hamilton,M,17
1880,Hamp,M,9
1880,Hampton,M,6
1880,Hanna,F,25
1880,Hannah,F,221
1880,Hans,M,21
1880,Hardin,M,7
1880,Hardy,M,19
1880,Harlan,M,8
1880,Harley,M,70
1880,Harman,M,7
1880,Harmon,M,23
1880,Harold,M,113
1880,Harriet,F,319
1880,Harriett,F,83
1880,Harriette,F,19
1880,Harris,M,18
1880,Harrison,M,65
1880,Harry,F,6
1880,Harry,M,2152
1880,Harvey,M,344
1880,Hassie,F,5
1880,Hattie,F,769
1880,Hattie,M,6
1880,Hayden,M,5
1880,Hayes,M,8
1880,Haywood,M,10
1880,Hazel,F,21
1880,Hector,M,15
1880,Hedwig,F,7
1880,Helen,F,636
1880,Helena,F,60
1880,Helene,F,17
1880,Henderson,M,12
1880,Henery,M,8
1880,Henrietta,F,191
1880,Henry,F,11
1880,Henry,M,2444
1880,Herbert,M,424
1880,Herman,M,347
1880,Hermine,F,6
1880,Hermon,M,5
1880,Herschel,M,11
1880,Hershel,M,5
1880,Hervey,M,7
1880,Hessie,F,6
1880,Hester,F,49
1880,Hettie,F,69
1880,Hezekiah,M,11
1880,Hilda,F,60
1880,Hillard,M,6
1880,Hilliard,M,10
1880,Hilma,F,10
1880,Hiram,M,88
1880,Hollie,M,6
1880,Hollis,M,7
1880,Holly,M,5
1880,Homer,M,205
1880,Honora,F,5
1880,Hope,F,9
1880,Hope,M,6
1880,Horace,M,199
1880,Horatio,M,15
1880,Hortense,F,14
1880,Hosea,M,10
1880,Houston,M,16
1880,Howard,M,357
1880,Howell,M,14
1880,Hoyt,M,5
1880,Hubert,M,59
1880,Hudson,M,5
1880,Huey,M,5
1880,Hugh,M,224
1880,Hugo,M,24
1880,Hulda,F,60
1880,Humphrey,M,5
1880,Hunter,M,12
1880,Huston,M,8
1880,Hyman,M,6
1880,Hyrum,M,5
1880,Icy,F,5
1880,Ida,F,1472
1880,Ida,M,8
1880,Idell,F,8
1880,Idella,F,23
1880,Ike,M,42
1880,Ila,F,15
1880,Imogene,F,12
1880,Ina,F,79
1880,India,F,12
1880,Indiana,F,9
1880,Inez,F,106
1880,Inga,F,8
1880,Iola,F,15
1880,Iona,F,18
1880,Ione,F,9
1880,Ira,F,16
1880,Ira,M,249
1880,Irena,F,8
1880,Irene,F,204
1880,Iris,F,11
1880,Irma,F,30
1880,Irven,M,5
1880,Irvin,M,86
1880,Irving,M,60
1880,Irwin,M,22
1880,Isa,F,5
1880,Isaac,M,274
1880,Isabel,F,81
1880,Isabell,F,22
1880,Isabella,F,50
1880,Isabelle,F,80
1880,Isadora,F,5
1880,Isadore,M,9
1880,Isaiah,M,40
1880,Ishmael,M,6
1880,Isiah,M,20
1880,Isom,M,18
1880,Israel,M,17
1880,Isreal,M,9
1880,Issac,M,16
1880,Iva,F,127
1880,Ivan,M,28
1880,Ivey,M,7
1880,Ivory,M,8
1880,Ivy,F,33
1880,Ivy,M,5
1880,Izora,F,11
1880,Jabez,M,5
1880,Jack,M,204
1880,Jackson,M,46
1880,Jacob,M,404
1880,Jake,M,96
1880,James,F,22
1880,James,M,5927
1880,Jane,F,215
1880,Janet,F,28
1880,Janette,F,6
1880,Janie,F,96
1880,Jannie,F,21
1880,Jarrett,M,6
1880,Jason,M,20
1880,Jasper,M,98
1880,Jay,M,103
1880,Jean,F,59
1880,Jean,M,12
1880,Jeanette,F,55
1880,Jeanne,F,12
1880,Jeannette,F,34
1880,Jeff,M,66
1880,Jefferson,M,43
1880,Jennette,F,6
1880,Jennie,F,793
1880,Jennie,M,7
1880,Jenny,F,13
1880,Jeremiah,M,37
1880,Jerome,M,52
1880,Jerry,M,136
1880,Jess,M,103
1880,Jesse,F,5
1880,Jesse,M,569
1880,Jessee,M,6
1880,Jessica,F,7
